id,Cursor,Amp,Width,ErrorRate,aligned(ErrorRate) for Cursor,aligned(ErrorRate) for Amp,aligned(ErrorRate) for Cursor*Amp,aligned(ErrorRate) for Width,aligned(ErrorRate) for Cursor*Width,aligned(ErrorRate) for Amp*Width,aligned(ErrorRate) for Cursor*Amp*Width,ART(ErrorRate) for Cursor,ART(ErrorRate) for Amp,ART(ErrorRate) for Cursor*Amp,ART(ErrorRate) for Width,ART(ErrorRate) for Cursor*Width,ART(ErrorRate) for Amp*Width,ART(ErrorRate) for Cursor*Amp*Width
1,1,1,1,0.15,0.0645651463532563161706349207,-0.0048137440884013282738095237,0.0205868164786600433531746031,0.0895717959437690589285714286,0.0684806472489143966269841270,0.0132536909761450770833333333,0.0194380874964456983134920636,780.5,564.5,659.5,841.5,792.5,620.5,657.5
1,1,1,2,0.15,0.1018771764284442625992063492,0.0324982859867866181547619048,0.0578988465538479897817460316,0.0743105372030625961309523810,0.0719906528670165249007936507,0.0716618795414128997023809522,0.0847172422793460495039682541,877.5,676.5,784.5,796.5,806.5,804.5,845.5
1,1,1,3,0,-0.0219427901546801945436507936,-0.0913216805963378389880952380,-0.0659211200292764673611111112,-0.0952210967224374050595238095,-0.0718100636915366715277777778,-0.0162543340931637267857142857,-0.0354940933513974978174603174,490,173,248,169,193,510,417
1,1,2,1,0.210526315789474,-0.0154593195734649588293650793,-0.0297996649918501336309523809,-0.0346267693211566631944444444,0.0095473300170477839285714286,-0.0115438186778068783730158730,-0.0303310949118940559523809523,-0.0363247019029394817460317461,514.5,480.5,422.5,638.5,525.5,437.5,409.5
1,1,2,2,0.1,-0.0243132997620318981150793650,-0.0386536451804170729166666666,-0.0434807495097236024801587301,-0.0518799389874135645833333332,-0.0541998233234596358134920635,-0.0477380898761786761904761905,-0.0519226896437155734126984127,457.5,438.5,389.5,362.5,328.5,349.5,343.5
1,1,2,3,0.0555555555555556,0.0108057478570157268849206350,-0.0035345975613694479166666666,-0.0083617018906759774801587301,-0.0624725587107414836309523809,-0.0390615256798407500992063492,-0.0267359828930345321428571428,-0.0165577761344522091269841270,623,570,547,320,416,454,491
1,1,3,1,0.15,-0.1209180907705711945436507936,-0.1130371511131545095238095237,-0.1336106073509093515873015874,-0.0959114411800584517857142857,-0.1170025898749131140873015873,-0.1305731562576569925595238096,-0.1307639457869121879960317459,63,83,48,162,66,44,54
1,1,3,2,0.2,0.0492234833722744804563492064,0.0571044230296911654761904763,0.0365309667919363234126984126,0.0216568441468928139880952382,0.0193369598108467427579365079,0.0270252741708264872023809523,0.0181545112004302346230158731,746.5,782.5,731.5,668.5,650.5,683.5,650.5
1,1,3,3,0.1,0.0405572098453197625992063492,0.0484381495027364476190476191,0.0278646932649816055555555554,-0.0327210967224374479166666667,-0.0093100636915367143849206350,-0.0034278116687725803571428572,0.0056337408308788676587301588,729,751,695,450,540,561,609
1,2,1,1,0,-0.1076775553048957409722222222,-0.1476708869455441997023809523,-0.0965217194342397268849206350,-0.053285346913373812500000000,-0.1131850741010359069444444444,-0.1296034518809977943452380953,-0.0881163821539807850198412698,84,33,102,354,77,50,132
